climate_model,MAGICC6
model,unspecified
variable,Radiative Forcing
todo,N/A
region,World
scenario,NDC_5_Ca5
unit,W / m^2
1765-01-01 00:00:00,0.0
1766-01-01 00:00:00,0.026431105039999996
1767-01-01 00:00:00,0.06944156499
1768-01-01 00:00:00,0.07907855519
1769-01-01 00:00:00,0.06974091973999998
1770-01-01 00:00:00,0.08666802605999999
1771-01-01 00:00:00,0.09986147660999999
1772-01-01 00:00:00,0.08037479528000001
1773-01-01 00:00:00,0.06260459159
1774-01-01 00:00:00,0.0517075801
1775-01-01 00:00:00,0.04945074617
1776-01-01 00:00:00,0.06814273433
1777-01-01 00:00:00,0.1102568807
1778-01-01 00:00:00,0.14446673349999997
1779-01-01 00:00:00,0.1338511623
1780-01-01 00:00:00,0.12972567559999998
1781-01-01 00:00:00,0.116736307
1782-01-01 00:00:00,0.05849727713999999
1783-01-01 00:00:00,-0.01863928116
1784-01-01 00:00:00,-0.024797948570000006
1785-01-01 00:00:00,0.060124988809999995
1786-01-01 00:00:00,0.13907830129999998
1787-01-01 00:00:00,0.1659887235
1788-01-01 00:00:00,0.1552361426
1789-01-01 00:00:00,0.044728188729999986
1790-01-01 00:00:00,-0.01439772044000002
1791-01-01 00:00:00,0.04682672406
1792-01-01 00:00:00,0.09203726123999999
1793-01-01 00:00:00,0.10812717849999999
1794-01-01 00:00:00,0.08595259008
1795-01-01 00:00:00,0.06420181821
1796-01-01 00:00:00,0.07346466781
1797-01-01 00:00:00,0.08894719356999999
1798-01-01 00:00:00,0.09711551517999999
1799-01-01 00:00:00,0.1034270301
1800-01-01 00:00:00,0.12485871429999999
1801-01-01 00:00:00,0.1379470256
1802-01-01 00:00:00,0.1249053726
1803-01-01 00:00:00,0.12016538339999999
1804-01-01 00:00:00,0.12402574609999999
1805-01-01 00:00:00,0.12195334669999999
1806-01-01 00:00:00,0.11468588879999998
1807-01-01 00:00:00,0.1120205312
1808-01-01 00:00:00,-0.33387729620000006
1809-01-01 00:00:00,-0.8830445605000001
1810-01-01 00:00:00,-0.676151453
1811-01-01 00:00:00,-0.20719976300000015
1812-01-01 00:00:00,-0.09020079358000006
1813-01-01 00:00:00,-0.02854028631000001
1814-01-01 00:00:00,-0.5262796668
1815-01-01 00:00:00,-1.241378047
1816-01-01 00:00:00,-0.9298491422999999
1817-01-01 00:00:00,-0.26811801780000005
1818-01-01 00:00:00,0.017640780319999994
1819-01-01 00:00:00,0.1382924893
1820-01-01 00:00:00,0.14819149559999997
1821-01-01 00:00:00,0.15022487099999998
1822-01-01 00:00:00,0.1536424876
1823-01-01 00:00:00,0.15801966850000002
1824-01-01 00:00:00,0.1663841079
1825-01-01 00:00:00,0.17943632269999996
1826-01-01 00:00:00,0.1957070622
1827-01-01 00:00:00,0.2122786673
1828-01-01 00:00:00,0.2168896561
1829-01-01 00:00:00,0.1864891762
1830-01-01 00:00:00,0.009211301683999971
1831-01-01 00:00:00,-0.17227768570000013
1832-01-01 00:00:00,-0.09825197709000001
1833-01-01 00:00:00,0.060599977169999916
1834-01-01 00:00:00,-0.22126556660000005
1835-01-01 00:00:00,-0.4091810427
1836-01-01 00:00:00,-0.1077252847000001
1837-01-01 00:00:00,0.11711034869999996
1838-01-01 00:00:00,0.20671898889999998
1839-01-01 00:00:00,0.2100717865
1840-01-01 00:00:00,0.1691171512
1841-01-01 00:00:00,0.1705151989
1842-01-01 00:00:00,0.1645708109
1843-01-01 00:00:00,0.13903574929999998
1844-01-01 00:00:00,0.1648907781
1845-01-01 00:00:00,0.2146391509
1846-01-01 00:00:00,0.24817706009999999
1847-01-01 00:00:00,0.28573364889999997
1848-01-01 00:00:00,0.3094603568
1849-01-01 00:00:00,0.26981147
1850-01-01 00:00:00,0.2462195798
1851-01-01 00:00:00,0.2553583819
1852-01-01 00:00:00,0.2452804781
1853-01-01 00:00:00,0.24343185359999997
1854-01-01 00:00:00,0.2334284257
1855-01-01 00:00:00,0.08811485953
1856-01-01 00:00:00,-0.18112159700000013
1857-01-01 00:00:00,-0.09049819079000002
1858-01-01 00:00:00,0.15032662449999992
1859-01-01 00:00:00,0.2606683562
1860-01-01 00:00:00,0.2947030403
1861-01-01 00:00:00,0.2165981605
1862-01-01 00:00:00,0.1758796932
1863-01-01 00:00:00,0.2157045062
1864-01-01 00:00:00,0.247595877
1865-01-01 00:00:00,0.2552231852
1866-01-01 00:00:00,0.2553215426
1867-01-01 00:00:00,0.267661731
1868-01-01 00:00:00,0.3029850139
1869-01-01 00:00:00,0.3378476883
1870-01-01 00:00:00,0.3614054186
1871-01-01 00:00:00,0.3443812238
